priority_bucket,priority_score,table,domain,status,status_confidence,status_reason,migration_action,reference_count,source_files,indirect_coverage_hints,priority_reasons
P0,89,spine_connector_runs,connectors,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,20,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: connectors;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_dossier_assertions,dossier,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,9,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: dossier;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_raw_artifacts,evidence,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,5,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: evidence;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_observations,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,29,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_seeds,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,21,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_subjects,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,38,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_validation_events,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,3,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,85,retention_runs,connectors,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,3,src/socmint/database.py,[],active candidate;core domain: connectors;known v6/v7/v12 family prefix
P0,85,workbench_jobs,connectors,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,23,src/socmint/database.py,[],active candidate;core domain: connectors;known v6/v7/v12 family prefix
P0,85,identity_columns,identity,active_candidate,0.55,path/name contains active domain hint,candidate_for_explicit_alembic_migration_after_column_review,26,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix
P0,85,identity_edges,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,5,src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix
P0,85,identity_graphs,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,6,src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix
P0,85,identity_merge_candidates,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,4,src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix
P0,85,identity_nodes,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,7,src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix
P0,85,spine_contradictions,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,13,src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix
P0,85,policy_gate_events,policy,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,8,src/socmint/database.py,[],active candidate;core domain: policy;known v6/v7/v12 family prefix
P1,70,connector_runs,connectors,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,53,src/socmint/database.py,[],active candidate;core domain: connectors
P1,70,all_tab_identity_cols,identity,active_candidate,0.55,path/name contains active domain hint,candidate_for_explicit_alembic_migration_after_column_review,3,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],active candidate;core domain: identity
P1,65,media_profile_enrichments,connectors,active_candidate,0.75,declared under src/socmint,human_review_for_rename_or_indirect_coverage,5,src/socmint/database.py,"[{""migration_table"": ""profiles"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}, {""migration_table"": ""media"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}]",active candidate;core domain: connectors;possible indirect/rename coverage
P1,60,employee,uncategorized,active_candidate,0.55,path/name contains active domain hint,candidate_for_explicit_alembic_migration_after_column_review,87,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/automap.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/declarative/extensions.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/orm/decl_api.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/orm/mapper.py,[],active candidate;declared/referenced in multiple files
P2,50,my_table,timeline,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,130,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/base.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/base.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/sqlite/base.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/orm/_orm_constructors.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/orm/decl_api.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/sql/events.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/sql/sqltypes.py,[],unknown requires review;operational domain: timeline;declared/referenced in multiple files
P2,50,findings,uncategorized,active_candidate,0.75,declared under src/socmint,review_before_migration,438,src/socmint/database.py,[],active candidate
P2,45,all_users,auth,active_candidate,0.55,path/name contains active domain hint,human_review_for_rename_or_indirect_coverage,7,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,"[{""migration_table"": ""users"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}]",active candidate;possible indirect/rename coverage
P2,45,user_order,auth,active_candidate,0.55,path/name contains active domain hint,human_review_for_rename_or_indirect_coverage,6,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/automap.py,"[{""migration_table"": ""users"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}]",active candidate;possible indirect/rename coverage
P2,45,user_table,auth,active_candidate,0.55,path/name contains active domain hint,human_review_for_rename_or_indirect_coverage,34,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/sql/dml.py,"[{""migration_table"": ""users"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}]",active candidate;possible indirect/rename coverage
P2,45,all_db_links,graph,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,4,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review;core domain: graph
P2,45,edge,graph,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,980,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/sql/selectable.py,[],unknown requires review;core domain: graph
P2,45,relationships,graph,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,191,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/orm/decl_api.py,[],unknown requires review;core domain: graph
P2,35,event,timeline,unknown_review,0.35,no clear active/legacy/test signal,human_review_for_rename_or_indirect_coverage,7932,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/compiler.py,"[{""migration_table"": ""usage_events"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}, {""migration_table"": ""evidence_hash_events"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}, {""migration_table"": ""continuous_monitoring_events"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}, {""migration_table"": ""case_events"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}, {""migration_table"": ""billing_events"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}]",unknown requires review;operational domain: timeline;possible indirect/rename coverage
P2,35,sometable,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,41,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/base.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/named_types.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/sqlite/base.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/sql/base.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/sql/schema.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/sql/util.py,[],unknown requires review;declared/referenced in multiple files
P3,33,my_data,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,9,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/mutable.py,[],unknown requires review;declared/referenced in multiple files
P3,33,person,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,376,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/indexable.py,[],unknown requires review;declared/referenced in multiple files
P3,31,manager,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,1696,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/declarative/extensions.py,[],unknown requires review;declared/referenced in multiple files
P3,31,slide,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,77,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/orderinglist.py,[],unknown requires review;declared/referenced in multiple files
P3,29,bat,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,1247,var/venvs/v12_10_17/lib/python3.13/site-packages/alembic/autogenerate/api.py,[],unknown requires review;declared/referenced in multiple files
P3,29,bullet,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,31,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/orderinglist.py,[],unknown requires review;declared/referenced in multiple files
P3,29,data,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,33374,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/base.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/sql/sqltypes.py,[],unknown requires review;declared/referenced in multiple files
P3,29,engineer,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,8,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/automap.py,[],unknown requires review;declared/referenced in multiple files
P3,29,searchword,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,20,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/hybrid.py,[],unknown requires review;declared/referenced in multiple files
P3,26,account,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,human_review_for_rename_or_indirect_coverage,708,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/base.py;var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/ext/hybrid.py,"[{""migration_table"": ""account_discoveries"", ""reason"": ""normalized substring/pluralization similarity"", ""strength"": ""medium""}]",unknown requires review;declared/referenced in multiple files;possible indirect/rename coverage
P3,25,pg_am,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,5,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_attrdef,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,7,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_attribute,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,41,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_class,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,87,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_collation,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,7,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_constraint,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,37,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_description,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,20,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_enum,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,7,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_index,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,36,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_namespace,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,32,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_opclass,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,6,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_sequence,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,10,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,pg_type,system,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,41,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/postgresql/pg_catalog.py,[],unknown requires review
P3,25,COLUMNS,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,27,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,CONSTRAINT_COLUMN_USAGE,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,1,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,KEY_COLUMN_USAGE,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,3,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,MYTABLE,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,5,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/base.py,[],unknown requires review
P3,25,Markup,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,204,var/venvs/v12_10_17/lib/python3.13/site-packages/pip/_vendor/rich/markup.py,[],unknown requires review
P3,25,MyTable,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,4,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/base.py,[],unknown requires review
P3,25,Name,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,7948,var/venvs/v12_10_17/lib/python3.13/site-packages/pip/_vendor/rich/default_styles.py,[],unknown requires review
P3,25,REFERENTIAL_CONSTRAINTS,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,2,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,SCHEMATA,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,1,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,SEQUENCES,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,2,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,TABLES,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,43,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,TABLE_CONSTRAINTS,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,1,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,VIEWS,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,3,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],unknown requires review
P3,25,all_col_comments,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,4,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_cons_columns,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,5,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_constraints,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,16,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_ind_columns,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,14,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_ind_expressions,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,8,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_indexes,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,11,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_mview_comments,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,7,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_mviews,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,9,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_objects,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,62,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_sequences,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,7,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_synonyms,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,19,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_tab_cols,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,6,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_tab_comments,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,10,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_tables,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,66,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,all_views,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,9,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/oracle/dictionary.py,[],unknown requires review
P3,25,bar,uncategorized,unknown_review,0.35,no clear active/legacy/test signal,review_before_migration,2785,var/venvs/v12_10_17/lib/python3.13/site-packages/alembic/autogenerate/api.py,[],unknown requires review
